nsp|rel|pos|col|col_type|col_nullable|col_default|col_generated|col_identity
admin|admin_users|1|user_id|uuid|NO||NEVER|
admin|admin_users|2|email|text|NO||NEVER|
admin|admin_users|3|role|text|NO||NEVER|
admin|admin_users|4|can_access_test|boolean|NO|true|NEVER|
admin|admin_users|5|can_access_prod|boolean|NO|false|NEVER|
admin|admin_users|6|created_at|timestamp with time zone|NO|now()|NEVER|
admin|admin_users|7|updated_at|timestamp with time zone|NO|now()|NEVER|
admin|admin_users|8|display_name|text|YES||NEVER|
admin|audit_logs|1|id|uuid|NO|gen_random_uuid()|NEVER|
admin|audit_logs|2|actor_user_id|uuid|YES||NEVER|
admin|audit_logs|3|actor_email|text|NO||NEVER|
admin|audit_logs|4|environment|text|NO||NEVER|
admin|audit_logs|5|action|text|NO||NEVER|
admin|audit_logs|6|schema_name|text|NO||NEVER|
admin|audit_logs|7|table_name|text|NO||NEVER|
admin|audit_logs|8|record_id|text|NO||NEVER|
admin|audit_logs|9|before_value|jsonb|YES||NEVER|
admin|audit_logs|10|after_value|jsonb|YES||NEVER|
admin|audit_logs|11|created_at|timestamp with time zone|NO|now()|NEVER|
admin|audit_logs|12|actor_name|text|YES||NEVER|
admin|character_layout_drafts|1|id|uuid|NO|gen_random_uuid()|NEVER|
admin|character_layout_drafts|2|environment|text|NO||NEVER|
admin|character_layout_drafts|3|listed_ids|ARRAY|NO|'{}'::uuid[]|NEVER|
admin|character_layout_drafts|4|delisted_ids|ARRAY|NO|'{}'::uuid[]|NEVER|
admin|character_layout_drafts|5|deleted_ids|ARRAY|NO|'{}'::uuid[]|NEVER|
admin|character_layout_drafts|6|base_layout_version|integer(32,0)|NO||NEVER|
admin|character_layout_drafts|7|status|text|NO|'draft'::text|NEVER|
admin|character_layout_drafts|8|created_by|uuid|NO||NEVER|
admin|character_layout_drafts|9|updated_by|uuid|NO||NEVER|
admin|character_layout_drafts|10|created_at|timestamp with time zone|NO|now()|NEVER|
admin|character_layout_drafts|11|updated_at|timestamp with time zone|NO|now()|NEVER|
admin|character_layout_drafts|12|published_at|timestamp with time zone|YES||NEVER|
admin|character_layout_releases|1|id|uuid|NO|gen_random_uuid()|NEVER|
admin|character_layout_releases|2|environment|text|NO||NEVER|
admin|character_layout_releases|3|layout_version|integer(32,0)|NO||NEVER|
admin|character_layout_releases|4|listed_ids|ARRAY|NO||NEVER|
admin|character_layout_releases|5|delisted_ids|ARRAY|NO||NEVER|
admin|character_layout_releases|6|deleted_ids|ARRAY|NO||NEVER|
admin|character_layout_releases|7|source_draft_id|uuid|YES||NEVER|
admin|character_layout_releases|8|released_by|uuid|NO||NEVER|
admin|character_layout_releases|9|released_at|timestamp with time zone|NO|now()|NEVER|
admin|character_layout_releases|10|release_kind|text|NO|'publish'::text|NEVER|
admin|character_layout_releases|11|rollback_target_release_id|uuid|YES||NEVER|
admin|character_layout_state|1|environment|text|NO||NEVER|
admin|character_layout_state|2|layout_version|integer(32,0)|NO|0|NEVER|
admin|character_layout_state|3|updated_at|timestamp with time zone|NO|now()|NEVER|
