fn|ref|hits
admin.archive_character|miniapp.characters|4
admin.create_announcement|miniapp.notifications|2
admin.create_character|miniapp.characters|3
admin.delete_announcement|miniapp.notifications|2
admin.get_character_layout|miniapp.characters|3
admin.get_characters|miniapp.characters|1
admin.get_managed_configs|miniapp.runtime_config|1
admin.grant_user_credits|miniapp.notifications|2
admin.grant_user_credits|miniapp.user_wallets|5
admin.grant_user_credits|miniapp.users|1
admin.grant_user_credits|miniapp.wallet_ledger|5
admin.list_announcements|miniapp.notifications|1
admin.lookup_user_for_credit_grant|miniapp.miniapp_user_settings|1
admin.lookup_user_for_credit_grant|miniapp.user_wallets|1
admin.lookup_user_for_credit_grant|miniapp.users|3
admin.lookup_user_for_credit_grant|miniapp.wallet_ledger|1
admin.publish_character_layout_draft|miniapp.characters|4
admin.publish_config_draft|miniapp.runtime_config|3
admin.reorder_characters|miniapp.characters|5
admin.rollback_character_layout_release|miniapp.characters|1
admin.rollback_config_release|miniapp.runtime_config|3
admin.save_config_draft|miniapp.runtime_config|1
admin.set_announcement_published|miniapp.notifications|4
admin.set_character_enabled|miniapp.characters|5
admin.update_announcement|miniapp.notifications|4
admin.validate_character_layout|miniapp.characters|3
miniapp.apply_context_window_flood|miniapp.chat_sessions|1
miniapp.charge_llm_usage|miniapp.llm_usage_charges|5
miniapp.charge_llm_usage|miniapp.user_wallets|6
miniapp.charge_llm_usage|miniapp.wallet_ledger|2
miniapp.claim_daily_checkin|miniapp.daily_checkins|2
miniapp.claim_daily_checkin|miniapp.runtime_config|1
miniapp.claim_daily_checkin|miniapp.user_wallets|3
miniapp.claim_daily_checkin|miniapp.wallet_ledger|1
miniapp.complete_payment_order|miniapp.payment_orders|3
miniapp.complete_payment_order|miniapp.user_wallets|6
miniapp.complete_payment_order|miniapp.wallet_ledger|1
miniapp.complete_wish_role|miniapp.wish_roles|3
miniapp.create_wish_role|miniapp.user_wallets|4
miniapp.create_wish_role|miniapp.wallet_ledger|1
miniapp.create_wish_role|miniapp.wish_roles|3
miniapp.deduct_wallet_credits|miniapp.user_wallets|4
miniapp.expire_payment_orders|miniapp.payment_orders|1
miniapp.finalize_character_free_chat_round|miniapp.character_free_chat_quota_decisions|4
miniapp.finalize_character_free_chat_round|miniapp.character_free_chat_quotas|3
miniapp.get_character_favorite_counts|miniapp.character_favorites|1
miniapp.grant_new_user_signup_bonus|miniapp.runtime_config|1
miniapp.grant_new_user_signup_bonus|miniapp.user_wallets|4
miniapp.grant_new_user_signup_bonus|miniapp.wallet_ledger|2
miniapp.grant_wallet_on_user_insert|miniapp.grant_new_user_signup_bonus|1
miniapp.guard_chat_session_idle|miniapp.chat_history|2
miniapp.increment_user_total_round|miniapp.miniapp_user_settings|1
miniapp.increment_user_total_round|miniapp.users|1
miniapp.list_character_favorites|miniapp.character_favorites|1
miniapp.list_character_favorites|miniapp.characters|1
miniapp.prepare_llm_usage_charge|miniapp.llm_usage_charge_dedup|1
miniapp.reconcile_llm_usage|miniapp.llm_usage_charges|3
miniapp.reconcile_llm_usage|miniapp.user_wallets|4
miniapp.reconcile_llm_usage|miniapp.wallet_ledger|3
miniapp.reserve_character_free_chat_round|miniapp.character_free_chat_quota_decisions|6
miniapp.reserve_character_free_chat_round|miniapp.character_free_chat_quotas|6
miniapp.retain_recent_llm_usage_charges|miniapp.llm_usage_charge_dedup|2
miniapp.retain_recent_llm_usage_charges|miniapp.llm_usage_charges|2
miniapp.set_character_favorite|miniapp.character_favorites|2
miniapp.set_character_favorite|miniapp.characters|1
miniapp.start_chat_history_regeneration|miniapp.apply_context_window_flood|1
miniapp.start_chat_history_regeneration|miniapp.chat_history|4
miniapp.start_chat_history_regeneration|miniapp.chat_sessions|2
miniapp.start_chat_history_regeneration|miniapp.guard_chat_session_idle|1
miniapp.start_chat_history_turn|miniapp.apply_context_window_flood|1
miniapp.start_chat_history_turn|miniapp.chat_history|2
miniapp.start_chat_history_turn|miniapp.chat_sessions|2
miniapp.start_chat_history_turn|miniapp.guard_chat_session_idle|1
miniapp.tf_refresh_chat_session_stats_from_history|miniapp.chat_history|1
miniapp.tf_refresh_chat_session_stats_from_history|miniapp.chat_sessions|1
miniapp.tf_set_user_character_round|miniapp.chat_history|2
public.compute_daily_metrics|miniapp.chat_history|1
