nsp|rel|row_count
admin|admin_users|1
admin|audit_logs|719
admin|character_layout_drafts|8
admin|character_layout_releases|9
admin|character_layout_state|1
admin|config_drafts|92
admin|config_releases|96
admin|environment_config|1
cs_platform|audit_logs|3782
cs_platform|export_logs|0
cs_platform|outreach_messages|4112
cs_platform|outreach_sessions|2417
cs_platform|persona_member_snapshots|81362
cs_platform|persona_member_state|4473
cs_platform|persona_refresh_runs|279
cs_platform|personas|18
miniapp|character_favorites|1037
miniapp|character_free_chat_quota_decisions|124604
miniapp|character_free_chat_quotas|6553
miniapp|character_ranking_scores|238
miniapp|characters|336
miniapp|chat_history|217807
miniapp|chat_message_audio|1578
miniapp|chat_sessions|6529
miniapp|daily_checkins|2856
miniapp|llm_usage_charge_dedup|216158
miniapp|llm_usage_charges|84837
miniapp|miniapp_user_settings|4919
miniapp|notification_reads|1386
miniapp|notifications|203
miniapp|payment_orders|427
miniapp|runtime_config|21
miniapp|support_conversations|42
miniapp|support_messages|278
miniapp|user_wallets|4931
miniapp|users|5313
miniapp|wallet_ledger|45762
miniapp|wish_roles|28
miniapp_analytics|card_position_snapshot|90968
miniapp_traffic|botlinks|8
miniapp_traffic|traffic_clicks|104
