nsp|rel|total_size|total_bytes
miniapp|chat_history|11 GB|11797520384
miniapp|llm_usage_charges|116 MB|122003456
miniapp|llm_usage_charge_dedup|64 MB|67526656
miniapp|wallet_ledger|33 MB|35069952
miniapp|character_free_chat_quota_decisions|31 MB|32972800
miniapp|characters|30 MB|31031296
admin|audit_logs|20 MB|20611072
miniapp_analytics|card_position_snapshot|16 MB|16302080
cs_platform|persona_member_snapshots|12 MB|12427264
miniapp|chat_sessions|5952 kB|6094848
cs_platform|outreach_messages|2584 kB|2646016
miniapp|chat_message_audio|1904 kB|1949696
miniapp|users|1600 kB|1638400
cs_platform|audit_logs|1352 kB|1384448
cs_platform|persona_member_state|1264 kB|1294336
miniapp|character_free_chat_quotas|1104 kB|1130496
miniapp|miniapp_user_settings|1096 kB|1122304
miniapp|daily_checkins|808 kB|827392
miniapp|user_wallets|752 kB|770048
cs_platform|outreach_sessions|576 kB|589824
admin|config_releases|408 kB|417792
admin|config_drafts|400 kB|409600
miniapp|character_favorites|352 kB|360448
cs_platform|personas|352 kB|360448
miniapp|notification_reads|328 kB|335872
miniapp|payment_orders|288 kB|294912
miniapp|support_messages|192 kB|196608
miniapp|character_ranking_scores|168 kB|172032
admin|character_layout_drafts|160 kB|163840
miniapp|notifications|152 kB|155648
cs_platform|persona_refresh_runs|144 kB|147456
admin|character_layout_releases|136 kB|139264
miniapp|runtime_config|120 kB|122880
miniapp_traffic|traffic_clicks|104 kB|106496
miniapp|wish_roles|96 kB|98304
miniapp|support_conversations|96 kB|98304
miniapp_traffic|botlinks|80 kB|81920
admin|admin_users|64 kB|65536
admin|character_layout_state|32 kB|32768
admin|environment_config|32 kB|32768
cs_platform|export_logs|16 kB|16384
