nsp|rel|trg|trg_def|trg_enabled
admin|audit_logs|audit_logs_snapshot_operator_name|CREATE TRIGGER audit_logs_snapshot_operator_name BEFORE INSERT ON admin.audit_logs FOR EACH ROW EXECUTE FUNCTION admin.snapshot_operator_name()|O
admin|config_drafts|config_drafts_validate_model_catalog_prd|CREATE TRIGGER config_drafts_validate_model_catalog_prd BEFORE INSERT OR UPDATE OF value ON admin.config_drafts FOR EACH ROW EXECUTE FUNCTION admin.validate_model_catalog_draft_trigger()|O
admin|config_drafts|config_drafts_validate_operations_config|CREATE TRIGGER config_drafts_validate_operations_config BEFORE INSERT OR UPDATE OF value ON admin.config_drafts FOR EACH ROW EXECUTE FUNCTION admin.validate_operations_config_draft_trigger()|O
admin|config_drafts|config_drafts_validate_payment_plan_ids|CREATE TRIGGER config_drafts_validate_payment_plan_ids BEFORE INSERT OR UPDATE OF value ON admin.config_drafts FOR EACH ROW EXECUTE FUNCTION admin.validate_payment_plans_draft_trigger()|O
admin|config_releases|config_releases_snapshot_operator_name|CREATE TRIGGER config_releases_snapshot_operator_name BEFORE INSERT ON admin.config_releases FOR EACH ROW EXECUTE FUNCTION admin.snapshot_operator_name()|O
miniapp|characters|trg_characters_track_listing|CREATE TRIGGER trg_characters_track_listing BEFORE INSERT OR UPDATE OF enabled, archived_at ON miniapp.characters FOR EACH ROW EXECUTE FUNCTION miniapp.tf_track_character_listing()|O
miniapp|chat_history|trg_refresh_chat_session_stats_from_history|CREATE TRIGGER trg_refresh_chat_session_stats_from_history AFTER INSERT OR UPDATE OF assistant_reply, status ON miniapp.chat_history FOR EACH ROW WHEN ((new.session_id IS NOT NULL)) EXECUTE FUNCTION miniapp.tf_refresh_chat_session_stats_from_history()|O
miniapp|llm_usage_charges|trg_prepare_llm_usage_charge|CREATE TRIGGER trg_prepare_llm_usage_charge BEFORE INSERT ON miniapp.llm_usage_charges FOR EACH ROW EXECUTE FUNCTION miniapp.prepare_llm_usage_charge()|O
miniapp|llm_usage_charges|trg_retain_recent_llm_usage_charges|CREATE TRIGGER trg_retain_recent_llm_usage_charges AFTER INSERT OR UPDATE OF status, charged_amount ON miniapp.llm_usage_charges FOR EACH ROW EXECUTE FUNCTION miniapp.retain_recent_llm_usage_charges()|O
miniapp|users|trg_miniapp_new_user_wallet_bonus|CREATE TRIGGER trg_miniapp_new_user_wallet_bonus AFTER INSERT ON miniapp.users FOR EACH ROW EXECUTE FUNCTION miniapp.grant_wallet_on_user_insert()|O
