nsp|rel|row_count
admin|admin_users|1
admin|audit_logs|764
admin|character_layout_drafts|8
admin|character_layout_releases|9
admin|character_layout_state|1
admin|config_drafts|102
admin|config_releases|107
admin|environment_config|1
cs_platform|audit_logs|3808
cs_platform|export_logs|0
cs_platform|outreach_messages|4158
cs_platform|outreach_sessions|2418
cs_platform|persona_member_snapshots|81963
cs_platform|persona_member_state|4560
cs_platform|persona_refresh_runs|281
cs_platform|personas|18
miniapp|character_favorites|1122
miniapp|character_free_chat_quota_decisions|135310
miniapp|character_free_chat_quotas|7198
miniapp|character_ranking_scores|254
miniapp|characters|360
miniapp|chat_history|232167
miniapp|chat_message_audio|1745
miniapp|chat_sessions|7521
miniapp|daily_checkins|3098
miniapp|llm_usage_charge_dedup|230340
miniapp|llm_usage_charges|87794
miniapp|miniapp_user_settings|5054
miniapp|notification_reads|1527
miniapp|notifications|226
miniapp|payment_orders|468
miniapp|runtime_config|21
miniapp|support_conversations|48
miniapp|support_messages|305
miniapp|user_wallets|5069
miniapp|users|5451
miniapp|wallet_ledger|49577
miniapp|wish_roles|34
miniapp_analytics|card_position_snapshot|102360
miniapp_traffic|botlinks|8
miniapp_traffic|traffic_clicks|107
