nsp|rel|total_size|total_bytes
miniapp|chat_history|11 GB|12278054912
miniapp|llm_usage_charges|119 MB|124510208
miniapp|llm_usage_charge_dedup|70 MB|73555968
miniapp|wallet_ledger|37 MB|39084032
miniapp|character_free_chat_quota_decisions|34 MB|36151296
miniapp|characters|30 MB|31563776
admin|audit_logs|20 MB|20676608
miniapp_analytics|card_position_snapshot|17 MB|18317312
cs_platform|persona_member_snapshots|12 MB|12517376
miniapp|chat_sessions|6784 kB|6946816
cs_platform|outreach_messages|2608 kB|2670592
miniapp|chat_message_audio|2032 kB|2080768
miniapp|users|1656 kB|1695744
cs_platform|audit_logs|1352 kB|1384448
cs_platform|persona_member_state|1272 kB|1302528
miniapp|character_free_chat_quotas|1216 kB|1245184
miniapp|miniapp_user_settings|1136 kB|1163264
miniapp|daily_checkins|872 kB|892928
miniapp|user_wallets|776 kB|794624
cs_platform|outreach_sessions|576 kB|589824
admin|config_releases|408 kB|417792
admin|config_drafts|400 kB|409600
miniapp|character_favorites|384 kB|393216
miniapp|notification_reads|360 kB|368640
cs_platform|personas|352 kB|360448
miniapp|payment_orders|352 kB|360448
miniapp|support_messages|208 kB|212992
miniapp|character_ranking_scores|176 kB|180224
admin|character_layout_drafts|160 kB|163840
miniapp|notifications|160 kB|163840
cs_platform|persona_refresh_runs|144 kB|147456
admin|character_layout_releases|136 kB|139264
miniapp|runtime_config|128 kB|131072
miniapp_traffic|traffic_clicks|104 kB|106496
miniapp|wish_roles|96 kB|98304
miniapp|support_conversations|96 kB|98304
miniapp_traffic|botlinks|80 kB|81920
admin|admin_users|64 kB|65536
admin|character_layout_state|32 kB|32768
admin|environment_config|32 kB|32768
cs_platform|export_logs|16 kB|16384
